Name,address,lat,lng,Area
Hospital Duchess Of Kent,"Hospital Duchess Of Kent, Malaysia",5.8589537,118.1029559,Sabah
Hospital Melaka,"Hospital Melaka, Malaysia",2.2172348,102.261335,Malacca
Hospital Miri,"Hospital Miri, Malaysia",4.3743537,113.9998124,Sarawak
Hospital Pulau Pinang,"Hospital Pulau Pinang, Malaysia",5.4169068,100.3113301,Penang
Hospital Queen Elizabeth II,"Hospital Queen Elizabeth II, Malaysia",5.9664872,116.0937928,Sabah
Hospital Raja Perempuan Zainab II,"Hospital Raja Perempuan Zainab II, Malaysia",6.1252883,102.245712,Kelantan
Hospital Raja Permaisuri Bainun,"Hospital Raja Permaisuri Bainun, Malaysia",4.6039191,101.0901656,Perak
Hospital Seberang Jaya,"Hospital Seberang Jaya, Malaysia",5.394086,100.4071014,Penang
Hospital Seri Manjung,"Hospital Seri Manjung, Malaysia",4.1855526,100.6618251,Perak
Hospital Sibu,"Hospital Sibu, Malaysia",2.296471,111.891889,Sarawak
Hospital Sultan Haji Ahmad Shah,"Hospital Sultan Haji Ahmad Shah, Malaysia",3.4531541,102.4515394,Pahang
Hospital Sultanah Aminah,"Hospital Sultanah Aminah, Malaysia",1.4584962,103.7460342,Johor
Hospital Sultanah Bahiyah,"Hospital Sultanah Bahiyah, Malaysia",6.1488245,100.4063735,Kedah
Hospital Sultanah Nora Ismail,"Hospital Sultanah Nora Ismail, Malaysia",1.837516,102.9409968,Johor
Hospital Sultanah Nur Zahirah,"Hospital Sultanah Nur Zahirah, Malaysia",5.3249893,103.1517898,Terengganu
Hospital Taiping,"Hospital Taiping, Malaysia",4.8510726,100.7368622,Perak
Hospital Tawau,"Hospital Tawau, Malaysia",4.2498168,117.8807429,Sabah
Hospital Tengku Ampuan Afzan,"Hospital Tengku Ampuan Afzan, Malaysia",3.8009173,103.3215148,Pahang
Hospital Tengku Ampuan Rahimah,"Hospital Tengku Ampuan Rahimah, Malaysia",3.0201558,101.4398994,Selangor
Hospital Tuanku Jaafar,"Hospital Tuanku Jaafar, Malaysia",2.7097523,101.9448302,Negeri Sembilan
Hospital Umum Sarawak,"Hospital Umum Sarawak, Malaysia",1.543644,110.339635,Sarawak
Pusat Darah Negara,"Pusat Darah Negara, Malaysia",4.210484,101.975766,Kuala Lumpur